Category,Subcategory,Enrichment,P-value,P-adjusted,Q-value,Expected,Observed,miRNAs/precursors
Gene Ontology (miRWalk),GO0007183 smad protein complex assembly,over-represented,0.0025975,0.0297831,0.0297831,1.07325,5,hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-375-3p; hsa-miR-652-3p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0007184 smad protein import into nucleus,over-represented,0.0016271,0.0242405,0.0242405,0.971039,5,hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-9-5p
Gene Ontology (miRWalk),GO0007219 notch signaling pathway,over-represented,7.54906e-06,0.0029036,0.0029036,4.54855,13,hsa-miR-129-5p; hsa-miR-151a-5p; hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-449a; hsa-miR-449b-5p; hsa-miR-449c-5p; hsa-miR-652-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0007220 notch receptor processing,over-represented,0.000688896,0.018526,0.018526,1.7632,7,hsa-miR-129-5p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-449a; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0007221 positive regulation of transcription of notch receptor target,over-represented,6.55779e-05,0.0072899,0.0072899,0.511073,5,hsa-miR-129-5p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-449a
Gene Ontology (miRWalk),GO0007224 smoothened signaling pathway,over-represented,0.0027902,0.0312192,0.0312192,1.60988,6,hsa-miR-193b-3p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-652-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0007243 intracellular protein kinase cascade,over-represented,0.0038894,0.0374658,0.0374658,3.01533,8,hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-652-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0007250 activation of nf kappab inducing kinase activity,over-represented,0.000957348,0.0205611,0.0205611,0.868825,5,hsa-miR-129-5p; hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-375-3p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0007266 rho protein signal transduction,over-represented,0.0027334,0.031089,0.031089,2.19761,7,hsa-miR-151a-5p; hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-375-3p; hsa-miR-652-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0007268 synaptic transmission,over-represented,0.000972785,0.0205647,0.0205647,3.90971,10,hsa-miR-151a-5p; hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-449c-5p; hsa-miR-652-3p; hsa-miR-874-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0007269 neurotransmitter secretion,over-represented,0.002146,0.0276822,0.0276822,1.53322,6,hsa-miR-151a-5p; hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0007274 neuromuscular synaptic transmission,over-represented,0.0074194,0.0474529,0.0474529,0.434412,3,hsa-miR-193b-3p; hsa-miR-378a-3p; hsa-miR-9-5p
Gene Ontology (miRWalk),GO0007283 spermatogenesis,over-represented,5.29911e-05,0.0071605,0.0071605,4.36968,12,hsa-miR-129-5p; hsa-miR-151a-5p; hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-449a; hsa-miR-449b-5p; hsa-miR-652-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0007346 regulation of mitotic cell cycle,over-represented,0.000826988,0.0192668,0.0192668,1.81431,7,hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-449a; hsa-miR-449b-5p; hsa-miR-874-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0007368 determination of left right symmetry,over-represented,0.0048684,0.040468,0.040468,1.78876,6,hsa-miR-129-5p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-449a; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0007411 axon guidance,over-represented,0.0051722,0.0415252,0.0415252,5.67291,11,hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-449a; hsa-miR-449b-5p; hsa-miR-652-3p; hsa-miR-9-5p; hsa-miR-9-3p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0007412 axon target recognition,over-represented,0.0025949,0.0297831,0.0297831,0.306644,3,hsa-miR-193b-3p; hsa-miR-378a-3p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0007420 brain development,over-represented,0.0012188,0.0218782,0.0218782,4.01193,10,hsa-miR-129-5p; hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-449a; hsa-miR-449b-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0007492 endoderm development,over-represented,0.0014734,0.0231739,0.0231739,1.43101,6,hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-375-3p; hsa-miR-652-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0007507 heart development,over-represented,0.000404091,0.0162731,0.0162731,4.34412,11,hsa-miR-129-5p; hsa-miR-151a-5p; hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-449a; hsa-miR-652-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0007519 skeletal muscle tissue development,over-represented,0.0036,0.0353405,0.0353405,2.29983,7,hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-652-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0007565 female pregnancy,over-represented,0.000456803,0.0163791,0.0163791,2.22317,8,hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-449a; hsa-miR-9-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0007569 cell aging,over-represented,0.0024735,0.0297831,0.0297831,3.55196,9,hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-449a; hsa-miR-449b-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0007588 excretion,over-represented,0.0039494,0.0374658,0.0374658,0.715503,4,hsa-miR-24-3p; hsa-miR-375-3p; hsa-miR-652-3p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0007595 lactation,over-represented,0.004604,0.0395926,0.0395926,3.09199,8,hsa-miR-193b-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-449a; hsa-miR-449b-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0007596 blood coagulation,over-represented,0.000844408,0.0195229,0.0195229,6.66951,13,hsa-miR-151a-5p; hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-449a; hsa-miR-449b-5p; hsa-miR-449c-5p; hsa-miR-652-3p; hsa-miR-9-5p; hsa-miR-9-3p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0007628 adult walking behavior,over-represented,0.0057935,0.0444061,0.0444061,0.792164,4,hsa-miR-193b-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0008009 chemokine activity,over-represented,0.0051248,0.0413162,0.0413162,0.76661,4,hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0008013 beta catenin binding,over-represented,0.000341177,0.0150175,0.0150175,3.4753,10,hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-449a; hsa-miR-449b-5p; hsa-miR-652-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0008017 microtubule binding,over-represented,0.000732907,0.0186803,0.0186803,3.04089,9,hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-652-3p; hsa-miR-874-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0008023 transcription elongation factor complex,over-represented,0.0012862,0.0220322,0.0220322,0.536627,4,hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-375-3p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0008060 arf gtpase activator activity,over-represented,0.0023228,0.0289049,0.0289049,1.0477,5,hsa-miR-24-3p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-652-3p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0008076 voltage gated potassium channel complex,over-represented,0.0065191,0.0454407,0.0454407,0.817717,4,hsa-miR-24-3p; hsa-miR-375-3p; hsa-miR-449c-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0008092 cytoskeletal protein binding,over-represented,0.0035739,0.0353405,0.0353405,1.68654,6,hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0008134 transcription factor binding,over-represented,0.0027817,0.0312192,0.0312192,6.2862,12,hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-449a; hsa-miR-449b-5p; hsa-miR-449c-5p; hsa-miR-652-3p; hsa-miR-874-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0008135 translation factor activity nucleic acid binding,over-represented,0.0017521,0.02588,0.02588,2.04429,7,hsa-miR-151a-5p; hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0008139 nuclear localization sequence binding,over-represented,0.0013343,0.0222262,0.0222262,1.40545,6,hsa-miR-129-5p; hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0008156 negative regulation of dna replication,over-represented,0.002146,0.0276822,0.0276822,1.53322,6,hsa-miR-129-5p; hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-375-3p; hsa-miR-449a; hsa-miR-449b-5p
Gene Ontology (miRWalk),GO0008201 heparin binding,over-represented,0.0077801,0.0491307,0.0491307,3.34753,8,hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-652-3p; hsa-miR-874-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0008217 regulation of blood pressure,over-represented,0.0025451,0.0297831,0.0297831,2.17206,7,hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-652-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0008219 cell death,over-represented,0.0044037,0.0387362,0.0387362,3.83305,9,hsa-miR-151a-5p; hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-449a; hsa-miR-652-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0008284 positive regulation of cell proliferation,over-represented,5.66841e-05,0.0071605,0.0071605,6.46508,14,hsa-miR-129-5p; hsa-miR-151a-5p; hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-449a; hsa-miR-449b-5p; hsa-miR-449c-5p; hsa-miR-652-3p; hsa-miR-9-5p; hsa-miR-9-3p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0008285 negative regulation of cell proliferation,over-represented,0.0013185,0.0222262,0.0222262,6.92504,13,hsa-miR-129-5p; hsa-miR-151a-5p; hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-449a; hsa-miR-449b-5p; hsa-miR-652-3p; hsa-miR-9-5p; hsa-miR-9-3p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0008301 dna binding bending,over-represented,0.0052912,0.0418451,0.0418451,2.45315,7,hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-378a-3p; hsa-miR-652-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0008305 integrin complex,over-represented,0.0035664,0.0353405,0.0353405,1.14991,5,hsa-miR-193b-3p; hsa-miR-375-3p; hsa-miR-9-5p; hsa-miR-9-3p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0008334 histone mrna metabolic process,over-represented,0.0029743,0.03235,0.03235,0.664395,4,hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-378a-3p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0008354 germ cell migration,over-represented,0.000252005,0.0131449,0.0131449,1.0477,6,hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-9-5p; hsa-miR-9-3p
Gene Ontology (miRWalk),GO0008380 rna splicing,over-represented,0.0046984,0.0401088,0.0401088,4.70187,10,hsa-miR-151a-5p; hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-652-3p; hsa-miR-874-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0008409 5 3 exonuclease activity,over-represented,0.00020882,0.0124439,0.0124439,0.638842,5,hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-9-5p
Gene Ontology (miRWalk),GO0008420 ctd phosphatase activity,over-represented,0.0062061,0.0451167,0.0451167,0.408859,3,hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-375-3p
Gene Ontology (miRWalk),GO0008553 hydrogen exporting atpase activity phosphorylative mechanism,over-represented,6.93643e-05,0.0072899,0.0072899,0.843271,6,hsa-miR-151a-5p; hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-652-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0008565 protein transporter activity,over-represented,0.000928619,0.0202525,0.0202525,2.45315,8,hsa-miR-129-5p; hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-652-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0008584 male gonad development,over-represented,0.00089364,0.0197958,0.0197958,3.11755,9,hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-449a; hsa-miR-449b-5p; hsa-miR-652-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0008607 phosphorylase kinase regulator activity,over-represented,0.0010381,0.0207183,0.0207183,0.229983,3,hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0008608 attachment of spindle microtubules to kinetochore,over-represented,0.0062061,0.0451167,0.0451167,0.408859,3,hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0008624 induction of apoptosis by extracellular signals,over-represented,0.0077801,0.0491307,0.0491307,3.34753,8,hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-652-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0008633 activation of pro apoptotic gene products,over-represented,0.0028989,0.031858,0.031858,2.88756,8,hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-449a; hsa-miR-449c-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0008654 phospholipid biosynthetic process,over-represented,0.0011004,0.0208786,0.0208786,0.894378,5,hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-375-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0009267 cellular response to starvation,over-represented,2.41781e-05,0.0051149,0.0051149,1.50767,8,hsa-miR-129-5p; hsa-miR-193b-3p; hsa-miR-34c-5p; hsa-miR-378a-3p; hsa-miR-449a; hsa-miR-449b-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0009314 response to radiation,over-represented,0.0075475,0.0479484,0.0479484,2.60647,7,hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-449a; hsa-miR-449b-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0009374 biotin binding,over-represented,0.0019767,0.0261354,0.0261354,0.28109,3,hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0009408 response to heat,over-represented,0.0013305,0.0222262,0.0222262,2.58092,8,hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-449a; hsa-miR-449c-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0009409 response to cold,over-represented,0.001259,0.0218782,0.0218782,0.919932,5,hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-375-3p; hsa-miR-652-3p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0009611 response to wounding,over-represented,0.0006328,0.0183382,0.0183382,2.32538,8,hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-449a; hsa-miR-449b-5p; hsa-miR-652-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0009612 response to mechanical stimulus,over-represented,0.0018923,0.0259097,0.0259097,2.06985,7,hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0009615 response to virus,over-represented,6.2873e-06,0.0027281,0.0027281,3.62862,12,hsa-miR-129-5p; hsa-miR-151a-5p; hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-449a; hsa-miR-449b-5p; hsa-miR-652-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0009649 entrainment of circadian clock,over-represented,0.0021804,0.027703,0.027703,0.613288,4,hsa-miR-193b-3p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-9-5p
Gene Ontology (miRWalk),GO0009749 response to glucose stimulus,over-represented,0.000685082,0.018526,0.018526,3.01533,9,hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-449a; hsa-miR-652-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0009887 organ morphogenesis,over-represented,0.0057172,0.0444061,0.0444061,3.19421,8,hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-449a; hsa-miR-449b-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0009913 epidermal cell differentiation,over-represented,0.003438,0.034716,0.034716,0.689949,4,hsa-miR-24-3p; hsa-miR-449a; hsa-miR-449b-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0009925 basal plasma membrane,over-represented,0.000517333,0.0174698,0.0174698,1.68654,7,hsa-miR-129-5p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-449a; hsa-miR-449b-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0009986 cell surface,over-represented,0.00039773,0.0161807,0.0161807,5.2385,12,hsa-miR-129-5p; hsa-miR-151a-5p; hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-449a; hsa-miR-652-3p; hsa-miR-9-5p; hsa-miR-9-3p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0010039 response to iron ion,over-represented,0.0041078,0.0375767,0.0375767,2.35094,7,hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-449a; hsa-miR-9-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0010043 response to zinc ion,over-represented,0.007304,0.0474529,0.0474529,0.843271,4,hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0010332 response to gamma radiation,over-represented,0.0018656,0.02588,0.02588,2.70869,8,hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-449a; hsa-miR-449c-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0010467 gene expression,over-represented,0.0014064,0.023138,0.023138,8.20273,14,hsa-miR-129-5p; hsa-miR-151a-5p; hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-449a; hsa-miR-449b-5p; hsa-miR-449c-5p; hsa-miR-652-3p; hsa-miR-874-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0010468 regulation of gene expression,over-represented,0.000115792,0.0092437,0.0092437,2.4276,9,hsa-miR-129-5p; hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-378a-3p; hsa-miR-449a; hsa-miR-449b-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0010506 regulation of autophagy,over-represented,0.000332272,0.0147983,0.0147983,1.09881,6,hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-652-3p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0010529 negative regulation of transposition,over-represented,0.000610497,0.0183023,0.0183023,0.0511073,2,hsa-miR-193b-3p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0010569 regulation of double strand break repair via homologous recombination,over-represented,0.0025559,0.0297831,0.0297831,0.638842,4,hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0010595 positive regulation of endothelial cell migration,over-represented,0.0046702,0.0400801,0.0400801,2.40204,7,hsa-miR-129-5p; hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0010628 positive regulation of gene expression,over-represented,0.0028039,0.0312192,0.0312192,4.42078,10,hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-449a; hsa-miR-449b-5p; hsa-miR-652-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0010718 positive regulation of epithelial to mesenchymal transition,over-represented,0.000100761,0.0083592,0.0083592,1.81431,8,hsa-miR-129-5p; hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-449a; hsa-miR-652-3p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0010800 positive regulation of peptidyl threonine phosphorylation,over-represented,0.000785004,0.0188713,0.0188713,1.27768,6,hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-449a; hsa-miR-449b-5p; hsa-miR-874-3p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0010801 negative regulation of peptidyl threonine phosphorylation,over-represented,0.0018387,0.02588,0.02588,0.996593,5,hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-449a; hsa-miR-449b-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0010811 positive regulation of cell substrate adhesion,over-represented,0.000785004,0.0188713,0.0188713,1.27768,6,hsa-miR-24-3p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-874-3p; hsa-miR-9-3p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0010812 negative regulation of cell substrate adhesion,over-represented,0.001259,0.0218782,0.0218782,0.919932,5,hsa-miR-129-5p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-449a
Gene Ontology (miRWalk),GO0010828 positive regulation of glucose transport,over-represented,0.001548,0.0236447,0.0236447,0.562181,4,hsa-miR-34c-5p; hsa-miR-449a; hsa-miR-449b-5p; hsa-miR-9-5p
Gene Ontology (miRWalk),GO0010832 negative regulation of myotube differentiation,over-represented,3.14347e-05,0.0063333,0.0063333,0.741056,6,hsa-miR-129-5p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-449a; hsa-miR-449b-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0010906 regulation of glucose metabolic process,over-represented,0.0025559,0.0297831,0.0297831,0.638842,4,hsa-miR-375-3p; hsa-miR-449a; hsa-miR-449b-5p; hsa-miR-9-5p
Gene Ontology (miRWalk),GO0010976 positive regulation of neuron projection development,over-represented,2.15139e-05,0.005057,0.005057,1.99319,9,hsa-miR-193b-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-449a; hsa-miR-449b-5p; hsa-miR-9-5p; hsa-miR-9-3p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0012507 er to golgi transport vesicle membrane,over-represented,0.0016235,0.0242405,0.0242405,1.45656,6,hsa-miR-193b-3p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-652-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0014002 astrocyte development,over-represented,0.0052411,0.0416071,0.0416071,1.25213,5,hsa-miR-129-5p; hsa-miR-193b-3p; hsa-miR-449a; hsa-miR-449b-5p; hsa-miR-9-5p
Gene Ontology (miRWalk),GO0014003 oligodendrocyte development,over-represented,0.000553318,0.0174708,0.0174708,1.20102,6,hsa-miR-34c-5p; hsa-miR-378a-3p; hsa-miR-449a; hsa-miR-449b-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Gene Ontology (miRWalk),GO0014034 neural crest cell fate commitment,over-represented,0.0010381,0.0207183,0.0207183,0.229983,3,hsa-miR-193b-3p; hsa-miR-378a-3p; hsa-miR-9-5p
